resultid,raceid,driverid,constructorid,number,grid,position,positiontext,positionorder,points,laps,time,milliseconds,fastestlap,rank,fastestlaptime,fastestlapspeed,statusid,status,driverref,constructorref,circuitid,name,year,circuitref,alt,weather,weather_type,total_points_driver,average_col_acc,rankfast,sumpits,points_season,points_circuit,constructor_failures,constructor_failures_driver,constructor_failures_driver_constructor,rank_yrs_exp_driver,rank_exp_driver,rank_wins_driver,rank_run_circuit,rank_quali_wins_driver,driver_failures
24706,1035,830,9,33,4,1,1,1,25,52,19:42.0,4781993,43,2,01:29.5,237.049,1,Finished,max_verstappen,red_bull,9,70th Anniversary Grand Prix,2020,silverstone,153,Sereno,1,2,0.09,1,4,1,1,12,0,3,5,10,5,8,6,2
24727,1036,830,9,33,3,2,2,2,18,66,24.177,5529456,63,4,01:21.5,205.677,1,Finished,max_verstappen,red_bull,4,Spanish Grand Prix,2020,catalunya,109,Parzialmente nuvoloso,2,2,0.09,2,5,1,1,9,0,3,5,10,5,8,6,4
24748,1037,830,9,33,3,3,3,3,15,44,15.455,5064216,28,8,01:48.3,232.809,1,Finished,max_verstappen,red_bull,13,Belgian Grand Prix,2020,spa,401,Parzialmente nuvoloso,2,2,0.09,2,2,1,1,12,0,3,5,10,5,7,6,4
24782,1038,830,9,33,5,,R,17,0,30,\N,,34,17,01:25.5,243.804,131,Power Unit,max_verstappen,red_bull,14,Italian Grand Prix,2020,monza,162,Sereno,1,2,0.09,1,5,1,1,14,0,3,5,10,5,5,6,4
24804,1039,830,9,33,3,,R,19,0,0,\N,,58,0,\N,\N,4,Collision,max_verstappen,red_bull,76,Tuscan Grand Prix,2020,mugello,255,Sereno,1,2,0.09,1,10,1,1,0,0,3,5,10,5,1,6,1
24807,1040,830,9,33,2,2,2,2,18,53,7.729,5648093,48,3,01:37.3,216.298,1,Finished,max_verstappen,red_bull,71,Russian Grand Prix,2020,sochi,2,Sereno,1,2,0.09,7,2,1,1,0,0,3,5,10,5,2,6,0
24827,1041,830,9,33,3,2,2,2,19,60,4.47,5754111,58,1,01:28.1,210.267,1,Finished,max_verstappen,red_bull,20,Eifel Grand Prix,2020,nurburgring,578,Parzialmente nuvoloso,2,2,0.09,2,3,1,1,11,0,3,5,10,5,7,6,0
24848,1042,830,9,33,3,3,3,3,15,66,34.508,5431336,63,4,01:19.9,209.767,1,Finished,max_verstappen,red_bull,75,Portuguese Grand Prix,2020,portimao,108,Nuvoloso,2,2,0.09,1,2,1,1,0,0,3,5,10,5,1,6,0
24882,1043,830,9,33,3,,R,17,0,50,\N,,63,5,01:17.6,227.628,29,Puncture,max_verstappen,red_bull,21,Emilia Romagna Grand Prix,2020,imola,37,Parzialmente nuvoloso,2,2,0.09,1,4,1,1,0,0,3,5,10,5,3,6,0
24891,1044,830,9,33,2,6,6,6,8,58,44.873,6184186,56,3,01:38.4,195.231,1,Finished,max_verstappen,red_bull,5,Turkish Grand Prix,2020,istanbul,130,"Piovoso ad inizio gara, umido successivamente",3,2,0.09,6,3,1,1,0,0,3,5,10,5,5,6,0
24907,1045,830,9,33,3,2,2,2,19,57,1.254,10788769,38,1,01:32.0,211.741,1,Finished,max_verstappen,red_bull,3,Bahrain Grand Prix,2020,bahrain,7,Sereno,1,2,0.09,3,7,1,1,0,0,3,5,10,5,6,6,2
24946,1047,830,9,33,1,1,1,1,25,55,36:28.6,5788645,37,2,01:41.0,198.046,1,Finished,max_verstappen,red_bull,24,Abu Dhabi Grand Prix,2020,yas_marina,3,Sereno,1,2,0.09,5,2,1,1,0,1,3,5,10,5,4,6,0
25347,1051,830,9,33,7,2,2,2,19,57,25.743,5094214,50,1,01:23.2,232.799,1,Finished,max_verstappen,red_bull,78,Qatar Grand Prix,2021,losail,,Sereno,1,2,0.09,2,3,1,2,0,0,3,5,10,5,1,6,0
24967,1052,830,9,33,1,2,2,2,18,56,0.745,5524642,44,2,01:33.2,208.984,1,Finished,max_verstappen,red_bull,3,Bahrain Grand Prix,2021,bahrain,7,Sereno,1,2,0.09,4,5,1,1,0,0,3,5,10,5,6,6,2
24986,1053,830,9,33,3,1,1,1,25,63,02:34.6,7354598,60,2,01:17.5,227.96,1,Finished,max_verstappen,red_bull,21,Emilia Romagna Grand Prix,2021,imola,37,"Piovoso a inizio gara, umido successivamente",3,2,0.09,1,5,1,1,0,0,3,5,10,5,3,6,0
25007,1054,830,9,33,3,2,2,2,18,66,29.148,5700569,47,3,01:20.7,207.581,1,Finished,max_verstappen,red_bull,75,Portuguese Grand Prix,2021,portimao,108,Poco nuvoloso,1,2,0.09,4,7,1,1,0,0,3,5,10,5,1,6,0
25027,1055,830,9,33,2,2,2,2,19,66,15.841,5603521,54,1,01:18.1,215.357,1,Finished,max_verstappen,red_bull,4,Spanish Grand Prix,2021,catalunya,109,Nuvoloso,2,2,0.09,5,4,1,1,9,0,3,5,10,5,8,6,4
25046,1056,830,9,33,2,1,1,1,25,78,38:56.8,5936820,69,6,01:14.6,160.929,1,Finished,max_verstappen,red_bull,6,Monaco Grand Prix,2021,monaco,7,Sereno,1,2,0.09,1,9,1,2,11,0,3,5,10,5,8,6,4
25083,1057,830,9,33,3,,R,18,0,45,\N,,43,1,01:44.5,206.839,3,Accident,max_verstappen,red_bull,73,Azerbaijan Grand Prix,2021,BAK,-7,Sereno,1,2,0.09,3,6,1,2,0,0,3,5,10,5,1,6,1
25106,1058,830,9,33,1,1,1,1,25,71,22:18.9,4938925,71,3,01:08.0,228.542,1,Finished,max_verstappen,red_bull,70,Styrian Grand Prix,2021,red_bull_ring,678,Parzialmente nuvoloso,2,2,0.09,1,3,1,1,3,1,3,5,10,5,2,6,2
25086,1059,830,9,33,1,1,1,1,26,53,27:25.8,5245770,44,1,01:36.4,218.156,1,Finished,max_verstappen,red_bull,34,French Grand Prix,2021,ricard,432,Parzialmente nuvoloso,2,2,0.09,5,2,1,1,0,0,3,5,10,5,1,6,0
