resultid,raceid,driverid,constructorid,number,grid,position,positiontext,positionorder,points,laps,time,milliseconds,fastestlap,rank,fastestlaptime,fastestlapspeed,statusid,status,driverref,constructorref,circuitid,name,year,circuitref,alt,weather,weather_type,total_points_driver,average_col_acc,rankfast,sumpits,points_season,points_circuit,constructor_failures,constructor_failures_driver,constructor_failures_driver_constructor,rank_yrs_exp_driver,rank_exp_driver,rank_wins_driver,rank_run_circuit,rank_quali_wins_driver,driver_failures
24646,1032,1,131,44,1,1,1,1,25,71,22:50.7,4970683,0,3,01:06.7,232.989,1,Finished,hamilton,mercedes,70,Styrian Grand Prix,2020,red_bull_ring,678,Parzialmente nuvoloso,2,1,0.01,0,4,2,3,9,1,5,2,3,1,1,1,0
24666,1033,1,131,44,1,1,1,1,26,70,36:12.5,5772473,41,1,01:16.6,205.823,1,Finished,hamilton,mercedes,11,Hungarian Grand Prix,2020,hungaroring,264,Parzialmente nuvoloso,2,1,0.01,6,2,3,5,14,1,5,2,3,1,3,1,0
24686,1034,1,131,44,1,1,1,1,25,52,28:01.3,5281283,41,3,01:29.2,237.652,1,Finished,hamilton,mercedes,9,British Grand Prix,2020,silverstone,153,Parzialmente nuvoloso,2,1,0.01,5,3,3,5,14,0,5,2,3,1,3,1,0
24707,1035,1,131,44,2,2,2,2,19,52,11.326,4793319,10,1,01:28.5,239.766,1,Finished,hamilton,mercedes,9,70th Anniversary Grand Prix,2020,silverstone,153,Sereno,1,1,0.01,17,4,2,5,14,0,5,2,3,1,3,1,0
24726,1036,1,131,44,1,1,1,1,25,66,31:45.3,5505279,25,2,01:19.8,209.942,1,Finished,hamilton,mercedes,4,Spanish Grand Prix,2020,catalunya,109,Parzialmente nuvoloso,2,1,0.01,5,2,2,5,14,0,5,2,3,1,3,1,4
24746,1037,1,131,44,1,1,1,1,25,44,24:08.8,5048761,54,2,01:47.8,233.99,1,Finished,hamilton,mercedes,13,Belgian Grand Prix,2020,spa,401,Parzialmente nuvoloso,2,1,0.01,5,2,3,3,2,0,5,2,3,1,3,1,2
24772,1038,1,131,44,1,7,7,7,7,53,17.245,6443301,56,1,01:22.7,252.033,1,Finished,hamilton,mercedes,14,Italian Grand Prix,2020,monza,162,Sereno,1,1,0.01,8,2,3,3,2,0,5,2,3,1,2,1,2
24786,1039,1,131,44,1,1,1,1,26,59,19:35.1,8375060,45,1,01:18.8,239.518,1,Finished,hamilton,mercedes,76,Tuscan Grand Prix,2020,mugello,255,Sereno,1,1,0.01,4,2,3,2,2,0,5,2,3,1,1,1,0
24808,1040,1,131,44,1,3,3,3,15,53,22.729,5663093,47,7,01:38.1,214.66,1,Finished,hamilton,mercedes,71,Russian Grand Prix,2020,sochi,2,Sereno,1,1,0.01,5,2,3,2,2,0,5,2,3,1,1,1,0
24826,1041,1,131,44,2,1,1,1,25,60,35:49.6,5749641,53,2,01:28.1,210.253,1,Finished,hamilton,mercedes,20,Eifel Grand Prix,2020,nurburgring,578,Parzialmente nuvoloso,2,1,0.01,3,3,2,2,2,0,5,2,3,1,3,1,0
24846,1042,1,131,44,1,1,1,1,26,66,29:56.8,5396828,28,1,01:18.7,212.708,1,Finished,hamilton,mercedes,75,Portuguese Grand Prix,2020,portimao,108,Nuvoloso,2,1,0.01,5,4,2,2,2,0,5,2,3,1,1,1,0
24866,1043,1,131,44,2,1,1,1,26,63,28:32.4,5312430,50,1,01:15.5,234.121,1,Finished,hamilton,mercedes,21,Emilia Romagna Grand Prix,2020,imola,37,Parzialmente nuvoloso,2,1,0.01,6,2,3,3,8,0,5,2,3,1,3,1,0
24886,1044,1,131,44,6,1,1,1,25,58,42:19.3,6139313,10,6,01:39.4,193.302,1,Finished,hamilton,mercedes,5,Turkish Grand Prix,2020,istanbul,130,"Piovoso ad inizio gara, umido successivamente",3,1,0.01,20,9,3,3,8,0,5,2,3,1,2,1,0
24906,1045,1,131,44,1,1,1,1,25,57,59:47.5,10787515,45,3,01:32.9,209.803,1,Finished,hamilton,mercedes,3,Bahrain Grand Prix,2020,bahrain,7,Sereno,1,1,0.01,2,8,3,2,1,0,5,2,3,1,2,1,0
24948,1047,1,131,44,3,3,3,3,15,55,18.415,5807060,42,5,01:41.4,197.144,1,Finished,hamilton,mercedes,24,Abu Dhabi Grand Prix,2020,yas_marina,3,Sereno,1,1,0.01,5,5,3,2,1,1,5,2,3,1,1,1,0
25346,1051,1,131,44,1,1,1,1,25,57,24:28.5,5068471,52,2,01:25.1,227.633,1,Finished,hamilton,mercedes,78,Qatar Grand Prix,2021,losail,,Sereno,1,1,0.01,2,4,2,2,1,0,5,2,3,1,1,1,0
24966,1052,1,131,44,2,1,1,1,25,56,32:03.9,5523897,66,4,01:34.0,207.235,1,Finished,hamilton,mercedes,3,Bahrain Grand Prix,2021,bahrain,7,Sereno,1,1,0.01,2,3,3,1,6,0,5,2,3,1,2,1,0
24987,1053,1,131,44,1,2,2,2,19,63,22,7376598,65,1,01:16.7,230.403,1,Finished,hamilton,mercedes,21,Emilia Romagna Grand Prix,2021,imola,37,"Piovoso a inizio gara, umido successivamente",3,1,0.01,11,3,3,1,6,0,5,2,3,1,3,1,0
25006,1054,1,131,44,2,1,1,1,25,66,34:31.4,5671421,52,4,01:20.9,206.971,1,Finished,hamilton,mercedes,75,Portuguese Grand Prix,2021,portimao,108,Poco nuvoloso,1,1,0.01,2,2,2,1,6,0,5,2,3,1,1,1,0
25026,1055,1,131,44,1,1,1,1,25,66,33:07.7,5587680,61,5,01:20.7,208.64,1,Finished,hamilton,mercedes,4,Spanish Grand Prix,2021,catalunya,109,Nuvoloso,2,1,0.01,4,2,3,1,6,0,5,2,3,1,3,1,4
25052,1056,1,131,44,7,7,7,7,7,78,+1:08.231,6005051,61,1,01:12.9,164.769,1,Finished,hamilton,mercedes,6,Monaco Grand Prix,2021,monaco,7,Sereno,1,1,0.01,2,5,3,1,6,0,5,2,3,1,3,1,0
25080,1057,1,131,44,2,15,15,15,0,51,17.668,8034078,47,3,01:44.8,206.27,1,Finished,hamilton,mercedes,73,Azerbaijan Grand Prix,2021,BAK,-7,Sereno,1,1,0.01,3,9,2,1,6,0,5,2,3,1,1,1,0
25107,1058,1,131,44,2,2,2,2,19,71,35.743,4974668,51,1,01:07.1,231.811,1,Finished,hamilton,mercedes,70,Styrian Grand Prix,2021,red_bull_ring,678,Parzialmente nuvoloso,2,1,0.01,6,2,3,2,2,1,5,2,3,1,1,1,0
25087,1059,1,131,44,2,2,2,2,18,53,2.904,5248674,55,5,01:37.4,215.903,1,Finished,hamilton,mercedes,34,French Grand Prix,2021,ricard,432,Parzialmente nuvoloso,2,1,0.01,5,2,3,2,2,0,5,2,3,1,1,1,0
25129,1060,1,131,44,4,4,4,4,12,71,46.452,5080995,14,3,01:08.1,228.177,1,Finished,hamilton,mercedes,70,Austrian Grand Prix,2021,red_bull_ring,678,Parzialmente nuvoloso,2,1,0.01,2,2,2,2,2,1,5,2,3,1,1,1,0
25146,1061,1,131,44,2,1,1,1,27,52,58:23.3,7103284,39,2,01:29.7,236.43,1,Finished,hamilton,mercedes,9,British Grand Prix,2021,silverstone,153,Sereno,1,1,0.01,1,6,2,2,2,0,5,2,3,1,3,1,0
25167,1062,1,131,44,1,2,2,2,18,70,2.736,7485935,0,2,01:18.7,200.363,1,Finished,hamilton,mercedes,11,Hungarian Grand Prix,2021,hungaroring,264,"Piovoso a inizio gara, asciutto successivamente",3,1,0.01,0,12,2,2,0,1,5,2,3,1,3,1,0
25188,1063,1,131,44,3,3,3,3,7.5,1,2.601,209672,60,0,\N,\N,1,Finished,hamilton,mercedes,13,Belgian Grand Prix,2021,spa,401,Piovoso,3,1,0.01,1,3,2,2,10,0,5,2,3,1,3,1,2
25207,1064,1,131,44,2,2,2,2,19,72,20.932,5426327,62,1,01:11.1,215.654,1,Finished,hamilton,mercedes,39,Dutch Grand Prix,2021,zandvoort,6,Sereno,1,1,0.01,4,3,2,2,0,0,5,2,3,1,1,1,0
25242,1065,1,131,44,4,,R,17,0,25,\N,,62,14,01:25.9,242.864,4,Collision,hamilton,mercedes,14,Italian Grand Prix,2021,monza,162,Sereno,1,1,0.01,3,7,2,2,0,0,5,2,3,1,2,1,2
25246,1066,1,131,44,4,1,1,1,25,53,30:41.0,5441001,44,2,01:37.6,215.76,1,Finished,hamilton,mercedes,71,Russian Grand Prix,2021,sochi,2,Nuvoloso con pioggia nel finale,3,1,0.01,5,3,2,4,12,0,5,2,3,1,1,1,0
25270,1067,1,131,44,11,5,5,5,10,58,41.812,5505915,60,10,01:32.8,207.16,1,Finished,hamilton,mercedes,5,Turkish Grand Prix,2021,istanbul,130,Nuvoloso e piovoso,3,1,0.01,2,4,2,4,12,0,5,2,3,1,2,1,0
25287,1069,1,131,44,2,2,2,2,19,56,1.333,5677885,53,1,01:38.5,201.521,1,Finished,hamilton,mercedes,69,United States Grand Prix,2021,americas,161,Sereno,1,1,0.01,3,5,2,2,1,0,5,2,3,1,1,1,0
25307,1070,1,131,44,2,2,2,2,18,71,16.555,5935641,53,4,01:19.8,194.116,1,Finished,hamilton,mercedes,32,Mexico City Grand Prix,2021,rodriguez,2227,Sereno,1,1,0.01,9,2,2,2,1,0,5,2,3,1,1,1,0
25326,1071,1,131,44,10,1,1,1,25,71,32:22.9,5542851,60,2,01:12.0,215.503,1,Finished,hamilton,mercedes,18,São Paulo Grand Prix,2021,interlagos,785,not found,0,1,0.01,3,4,2,2,0,1,5,2,3,1,3,1,4
25366,1072,1,131,44,1,1,1,1,26,50,06:15.1,7575118,57,1,01:30.7,244.962,1,Finished,hamilton,mercedes,77,Saudi Arabian Grand Prix,2021,jeddah,15,Sereno,1,1,0.01,1,5,2,1,0,0,5,2,3,1,1,1,0
25387,1073,1,131,44,2,2,2,2,18,58,2.256,5419601,35,3,01:26.6,219.495,1,Finished,hamilton,mercedes,24,Abu Dhabi Grand Prix,2021,yas_marina,3,Sereno,1,1,0.01,3,4,2,2,0,1,5,2,3,1,1,1,0
