resultId,raceId,driverId,constructorId,pitstops,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rankfast,fastestLapTime,fastestLapSpeed,statusId,status,driverRef,constructorRef,circuitId,name,year,circuitRef,
24290,1014,832,1,3,55,12,8,8,8,4,66,32.342,5782785,59,10,01:20.9,207.249,1,Finished,sainz,mclaren,4,Spanish Grand Prix,2019,catalunya,
24311,1015,832,1,1,55,9,6,6,6,8,78,53.454,6261891,32,5,01:15.9,158.295,1,Finished,sainz,mclaren,6,Monaco Grand Prix,2019,monaco,
24336,1016,832,1,1,55,11,11,11,11,0,69,\N,\N,37,15,01:16.5,205.301,11,+1 Lap,sainz,mclaren,7,Canadian Grand Prix,2019,villeneuve,
24351,1017,832,1,1,55,6,6,6,6,8,53,+1:35.462,5166660,52,6,01:34.6,222.408,1,Finished,sainz,mclaren,34,French Grand Prix,2019,ricard,
24373,1018,832,1,1,55,19,8,8,8,4,70,\N,\N,53,6,01:08.1,228.207,11,+1 Lap,sainz,mclaren,70,Austrian Grand Prix,2019,red_bull_ring,
24391,1019,832,1,1,55,13,6,6,6,8,52,53.639,4922091,50,11,01:29.8,236.277,1,Finished,sainz,mclaren,9,British Grand Prix,2019,silverstone,
24410,1020,832,1,6,55,7,5,5,5,10,64,9.583,6280858,63,9,01:17.8,211.538,1,Finished,sainz,mclaren,10,German Grand Prix,2019,hockenheimring,
24430,1021,832,1,1,55,8,5,5,5,10,69,\N,\N,66,10,01:21.0,194.706,11,+1 Lap,sainz,mclaren,11,Hungarian Grand Prix,2019,hungaroring,
24464,1022,832,1,1,55,15,\N,R,19,0,1,\N,\N,\N,0,\N,\N,75,Power loss,sainz,mclaren,13,Belgian Grand Prix,2019,spa,
24485,1023,832,1,1,55,7,\N,R,20,0,27,\N,\N,10,19,01:25.6,243.525,36,Wheel,sainz,mclaren,14,Italian Grand Prix,2019,monza,
24497,1024,832,1,2,55,7,12,12,12,0,61,35.974,7149641,41,15,01:46.0,172.001,1,Finished,sainz,mclaren,15,Singapore Grand Prix,2019,marina_bay,
24511,1025,832,1,1,55,5,6,6,6,8,53,45.889,5664881,53,6,01:38.0,214.78,1,Finished,sainz,mclaren,71,Russian Grand Prix,2019,sochi,
24530,1026,832,1,1,55,7,5,5,5,10,52,+1:09.101,4975856,46,12,01:33.6,223.434,1,Finished,sainz,mclaren,22,Japanese Grand Prix,2019,suzuka,
24558,1027,832,1,3,55,7,13,13,13,0,70,\N,\N,66,10,01:20.3,192.929,11,+1 Lap,sainz,mclaren,32,Mexican Grand Prix,2019,rodriguez,
24573,1028,832,1,1,55,7,8,8,8,4,55,\N,\N,44,15,01:40.8,196.806,11,+1 Lap,sainz,mclaren,69,United States Grand Prix,2019,americas,
24588,1029,832,1,1,55,20,3,3,3,15,71,8.896,5603574,63,16,01:13.2,212.039,1,Finished,sainz,mclaren,18,Brazilian Grand Prix,2019,interlagos,
24615,1030,832,1,3,55,8,10,10,10,1,54,\N,\N,43,7,01:41.3,197.389,11,+1 Lap,sainz,mclaren,24,Abu Dhabi Grand Prix,2019,yas_marina,
24630,1031,832,1,6,55,8,5,5,5,10,71,8.903,5464642,63,5,01:08.0,228.687,1,Finished,sainz,mclaren,70,Austrian Grand Prix,2020,red_bull_ring,
24654,1032,832,1,3,55,3,9,9,9,3,70,\N,\N,68,1,01:05.6,236.894,11,+1 Lap,sainz,mclaren,70,Styrian Grand Prix,2020,red_bull_ring,
24674,1033,832,1,3,55,9,9,9,9,2,69,\N,\N,68,15,01:20.5,195.976,11,+1 Lap,sainz,mclaren,11,Hungarian Grand Prix,2020,hungaroring,
24698,1034,832,1,3,55,7,13,13,13,0,52,53.37,5334653,47,10,01:29.9,235.776,1,Finished,sainz,mclaren,9,British Grand Prix,2020,silverstone,
24718,1035,832,1,3,55,12,13,13,13,0,52,+1:14.070,4856063,49,9,01:30.6,234.193,1,Finished,sainz,mclaren,9,70th Anniversary Grand Prix,2020,silverstone,
24731,1036,832,1,3,55,7,6,6,6,8,65,\N,\N,59,5,01:21.8,204.938,11,+1 Lap,sainz,mclaren,4,Spanish Grand Prix,2020,catalunya,
24765,1037,832,1,0,55,7,\N,W,20,0,0,\N,\N,\N,0,\N,\N,43,Exhaust,sainz,mclaren,13,Belgian Grand Prix,2020,spa,
24767,1038,832,1,3,55,3,2,2,2,18,53,0.415,6426471,40,2,01:23.9,248.62,1,Finished,sainz,mclaren,14,Italian Grand Prix,2020,monza,
24803,1039,832,1,0,55,9,\N,R,18,0,5,\N,\N,5,18,02:14.1,140.802,4,Collision,sainz,mclaren,76,Tuscan Grand Prix,2020,mugello,
24824,1040,832,1,0,55,6,\N,R,19,0,0,\N,\N,\N,0,\N,\N,3,Accident,sainz,mclaren,71,Russian Grand Prix,2020,sochi,
24830,1041,832,1,3,55,10,5,5,5,10,60,21.905,5771546,53,6,01:30.1,205.625,1,Finished,sainz,mclaren,20,Eifel Grand Prix,2020,nurburgring,
24851,1042,832,1,1,55,7,6,6,6,8,65,\N,\N,65,6,01:20.3,208.685,11,+1 Lap,sainz,mclaren,75,Portuguese Grand Prix,2020,portimao,
24872,1043,832,1,3,55,10,7,7,7,6,63,20.23,5332660,62,11,01:18.1,226.226,1,Finished,sainz,mclaren,21,Emilia Romagna Grand Prix,2020,imola,
24890,1044,832,1,3,55,15,5,5,5,10,58,34.363,6173676,56,4,01:38.8,194.592,1,Finished,sainz,mclaren,5,Turkish Grand Prix,2020,istanbul,
24910,1045,832,1,6,55,15,5,5,5,10,57,11.787,10799302,46,5,01:33.4,208.575,1,Finished,sainz,mclaren,3,Bahrain Grand Prix,2020,bahrain,
24929,1046,832,1,3,55,8,4,4,4,12,87,12.58,5487694,80,9,00:57.2,223.122,1,Finished,sainz,mclaren,3,Sakhir Grand Prix,2020,bahrain,
24951,1047,832,1,1,55,6,6,6,6,8,55,+1:05.662,5854307,48,11,01:41.9,196.125,1,Finished,sainz,mclaren,24,Abu Dhabi Grand Prix,2020,yas_marina,
25352,1051,832,6,1,55,5,7,7,7,6,57,+1:21.911,5150382,46,9,01:26.6,223.726,1,Finished,sainz,ferrari,78,Qatar Grand Prix,2021,losail,
24973,1052,832,6,3,55,8,8,8,8,4,56,67.1,5590997,48,7,01:34.5,206.151,1,Finished,sainz,ferrari,3,Bahrain Grand Prix,2021,bahrain,
24990,1053,832,6,3,55,11,5,5,5,10,63,27.036,7381634,60,7,01:18.5,225.154,1,Finished,sainz,ferrari,21,Emilia Romagna Grand Prix,2021,imola,
25016,1054,832,6,6,55,5,11,11,11,0,66,+1:18.955,5750376,60,14,01:22.3,203.471,1,Finished,sainz,ferrari,75,Portuguese Grand Prix,2021,portimao,
25032,1055,832,6,3,55,6,7,7,7,6,66,+1:14.670,5662350,53,9,01:21.6,206.33,1,Finished,sainz,ferrari,4,Spanish Grand Prix,2021,catalunya,
25047,1056,832,6,1,55,4,2,2,2,18,78,8.968,5945788,35,5,01:14.6,160.989,1,Finished,sainz,ferrari,6,Monaco Grand Prix,2021,monaco,
