resultid,raceid,driverid,constructorid,number,grid,position,positiontext,positionorder,points,laps,time,milliseconds,fastestlap,rank,fastestlaptime,fastestlapspeed,statusid,status,driverref,constructorref,circuitid,name,year,circuitref,alt,weather,weather_type,total_points_driver,average_col_acc,rankfast,sumpits,points_season,points_circuit,constructor_failures,constructor_failures_driver,constructor_failures_driver_constructor,rank_yrs_exp_driver,rank_exp_driver,rank_wins_driver,rank_run_circuit,rank_quali_wins_driver,driver_failures
24745,1036,844,6,16,9,,R,20,0,38,\N,,63,20,01:24.0,199.576,40,Electronics,leclerc,ferrari,4,Spanish Grand Prix,2020,catalunya,109,Parzialmente nuvoloso,2,5,0.1,2,5,1,1,9,0,3,8,18,8,11,7,0
24759,1037,844,6,16,13,14,14,14,0,44,+1:14.920,5123681,28,4,01:47.8,233.813,1,Finished,leclerc,ferrari,13,Belgian Grand Prix,2020,spa,401,Parzialmente nuvoloso,2,5,0.1,2,2,1,1,12,0,3,8,18,8,10,7,4
24783,1038,844,6,16,13,,R,18,0,23,\N,,34,19,01:26.0,242.424,3,Accident,leclerc,ferrari,14,Italian Grand Prix,2020,monza,162,Sereno,1,5,0.1,1,5,1,1,14,0,3,8,18,8,8,7,4
24793,1039,844,6,16,5,8,8,8,4,59,28.345,8403405,58,9,01:21.2,232.453,1,Finished,leclerc,ferrari,76,Tuscan Grand Prix,2020,mugello,255,Sereno,1,5,0.1,1,10,1,1,0,0,3,8,18,8,1,7,0
24811,1040,844,6,16,10,6,6,6,8,53,+1:02.186,5702550,48,11,01:39.1,212.54,1,Finished,leclerc,ferrari,71,Russian Grand Prix,2020,sochi,2,Sereno,1,5,0.1,7,2,1,1,0,0,3,8,18,8,5,7,0
24832,1041,844,6,16,4,7,7,7,6,60,30.814,5780455,58,10,01:30.7,204.303,1,Finished,leclerc,ferrari,20,Eifel Grand Prix,2020,nurburgring,578,Parzialmente nuvoloso,2,5,0.1,2,3,1,1,11,0,3,8,18,8,7,7,0
24849,1042,844,6,16,4,4,4,4,12,66,+1:05.312,5462140,63,7,01:20.4,208.322,1,Finished,leclerc,ferrari,75,Portuguese Grand Prix,2020,portimao,108,Nuvoloso,2,5,0.1,1,2,1,1,0,0,3,8,18,8,1,7,0
24870,1043,844,6,16,7,5,5,5,10,63,19.111,5331541,63,12,01:18.2,226.067,1,Finished,leclerc,ferrari,21,Emilia Romagna Grand Prix,2020,imola,37,Parzialmente nuvoloso,2,5,0.1,1,4,1,1,0,0,3,8,18,8,3,7,0
24889,1044,844,6,16,12,4,4,4,12,58,33.858,6173171,56,11,01:40.0,192.242,1,Finished,leclerc,ferrari,5,Turkish Grand Prix,2020,istanbul,130,"Piovoso ad inizio gara, umido successivamente",3,5,0.1,6,3,1,1,0,0,3,8,18,8,5,7,0
24915,1045,844,6,16,12,10,10,10,1,56,\N,,38,8,01:33.6,208.098,11,+1 Lap,leclerc,ferrari,3,Bahrain Grand Prix,2020,bahrain,7,Sereno,1,5,0.1,3,7,1,1,0,0,3,8,18,8,9,7,2
