resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,circuitId
179,26,7,5,14,13,11,11,11,0,59,\N,\N,21,9,01:33.4,198.224,11,9
180,26,10,7,12,12,12,12,12,0,59,\N,\N,19,15,01:34.6,195.619,11,9
181,26,13,6,2,9,13,13,13,0,58,\N,\N,19,8,01:33.3,198.458,12,9
182,26,9,2,4,10,\N,R,14,0,39,\N,\N,22,12,01:33.5,197.859,20,9
183,26,18,11,16,17,\N,R,15,0,38,\N,\N,21,10,01:33.4,198.205,20,9
184,26,12,4,6,7,\N,R,16,0,35,\N,\N,21,7,01:33.2,198.573,20,9
185,26,21,10,21,19,\N,R,17,0,16,\N,\N,21,17,01:34.9,194.96,20,9
186,26,16,10,20,18,\N,R,18,0,10,\N,\N,5,18,01:38.2,188.545,20,9
187,26,20,5,15,8,\N,R,19,0,0,\N,\N,\N,\N,\N,\N,4,9
188,26,14,9,9,11,\N,R,20,0,0,\N,\N,\N,\N,\N,\N,4,9
189,27,1,1,22,1,1,1,1,10,67,31:20.9,5480874,17,2,01:16.0,216.552,1,10
190,27,12,4,6,17,2,2,2,8,67,5.586,5486460,66,9,01:16.9,214.099,1,10
191,27,13,6,2,2,3,3,3,6,67,9.339,5490213,19,5,01:16.5,215.241,1,10
192,27,2,2,3,12,4,4,4,5,67,9.825,5490699,52,1,01:16.0,216.7,1,10
193,27,5,1,23,3,5,5,5,4,67,12.411,5493285,63,4,01:16.5,215.261,1,10
194,27,8,6,1,6,6,6,6,3,67,14.403,5495277,66,3,01:16.3,215.692,1,10
195,27,9,2,4,7,7,7,7,2,67,22.682,5503556,17,6,01:16.6,214.937,1,10
196,27,20,5,15,9,8,8,8,1,67,33.299,5514173,20,8,01:16.8,214.484,1,10
197,27,15,7,11,4,9,9,9,0,67,37.158,5518032,17,12,01:17.0,213.785,1,10
198,27,3,3,7,13,10,10,10,0,67,37.625,5518499,34,15,01:17.4,212.799,1,10
199,27,4,4,5,5,11,11,11,0,67,38.6,5519474,17,13,01:17.1,213.53,1,10
200,27,7,5,14,15,12,12,12,0,67,39.111,5519985,63,10,01:17.0,213.935,1,10
201,27,14,9,9,10,13,13,13,0,67,54.971,5535845,18,11,01:17.0,213.866,1,10
202,27,6,3,8,16,14,14,14,0,67,+1:00.003,5540877,23,17,01:17.7,211.947,1,10
203,27,16,10,20,19,15,15,15,0,67,+1:09.488,5550362,66,18,01:17.9,211.408,1,10
204,27,21,10,21,20,16,16,16,0,67,+1:24.093,5564967,67,20,01:18.2,210.546,1,10
205,27,18,11,16,14,17,17,17,0,66,\N,\N,56,16,01:17.6,212.097,11,10
206,27,22,11,17,18,\N,R,18,0,50,\N,\N,30,19,01:18.0,211.145,4,10
207,27,17,9,10,8,\N,R,19,0,40,\N,\N,20,14,01:17.2,213.278,5,10
208,27,10,7,12,11,\N,R,20,0,35,\N,\N,24,7,01:16.7,214.652,22,10
209,28,5,1,23,2,1,1,1,10,70,37:27.1,5847067,19,7,01:21.8,192.917,1,11
210,28,10,7,12,5,2,2,2,8,70,11.061,5858128,42,6,01:21.7,193.111,1,11
211,28,8,6,1,6,3,3,3,6,70,16.856,5863923,61,1,01:21.2,194.243,1,11
212,28,4,4,5,7,4,4,4,5,70,21.614,5868681,47,8,01:21.8,192.823,1,11
213,28,1,1,22,1,5,5,5,4,70,23.048,5870115,15,3,01:21.5,193.533,1,11
214,28,12,4,6,10,6,6,6,3,70,32.298,5879365,64,4,01:21.5,193.428,1,11
215,28,15,7,11,9,7,7,7,2,70,36.449,5883516,65,5,01:21.6,193.189,1,11
216,28,9,2,4,4,8,8,8,1,70,48.321,5895388,70,9,01:21.9,192.475,1,11
217,28,17,9,10,8,9,9,9,0,70,58.834,5905901,67,10,01:22.1,192.043,1,11
218,28,2,2,3,15,10,10,10,0,70,+1:07.709,5914776,67,11,01:22.2,191.908,1,11
219,28,14,9,9,13,11,11,11,0,70,+1:10.407,5917474,67,16,01:22.7,190.634,1,11
220,28,18,11,16,12,12,12,12,0,69,\N,\N,63,13,01:22.4,191.409,11,11
221,28,6,3,8,16,13,13,13,0,69,\N,\N,67,18,01:23.3,189.319,11,11
222,28,3,3,7,14,14,14,14,0,69,\N,\N,57,12,01:22.4,191.409,11,11
223,28,21,10,21,18,15,15,15,0,69,\N,\N,68,15,01:22.6,190.844,11,11
