resultId,total_points_driver,average_col_acc
24573,418.5,0.04
24574,116,0.11
24575,429,0.03
24576,308,0.01
24577,69,0.08
24578,136,0.08
24579,21,0.05
24580,47,0.11
24581,309,0.06
24582,19,0.08
24583,77,0.05
24584,1,0
24585,636,0.04
24586,1136.5,0.09
24587,309,0.06
24588,418.5,0.04
24589,308,0.01
24590,21,0.05
24591,458,0.04
24592,1555.5,0.01
24593,306,0.05
24594,429,0.03
24595,69,0.08
24596,77,0.05
24597,19,0.08
24598,47,0.11
24599,197,0
24600,116,0.11
24601,1,0
24602,636,0.04
24603,560,0.1
24604,136,0.08
24605,1022,0.04
24606,1555.5,0.01
24607,1136.5,0.09
24608,560,0.1
24609,1022,0.04
24610,636,0.04
24611,197,0
24612,429,0.03
24613,306,0.05
24614,69,0.08
24615,418.5,0.04
24616,458,0.04
24617,116,0.11
24618,308,0.01
24619,77,0.05
24620,47,0.11
24621,21,0.05
24622,19,0.08
24623,309,0.06
24624,1,0
24625,136,0.08
24627,560,0.1
24628,306,0.05
24629,1555.5,0.01
24630,418.5,0.04
24631,429,0.03
24632,309,0.06
24633,185,0.07
24634,21,0.05
24635,636,0.04
24636,7,0.1
24637,69,0.08
24638,197,0
24639,308,0.01
24640,19,0.08
24641,47,0.11
24642,77,0.05
24643,136,0.08
24644,458,0.04
24645,1136.5,0.09
24646,1555.5,0.01
24647,1022,0.04
24648,1136.5,0.09
24649,197,0
24650,306,0.05
24651,429,0.03
24652,136,0.08
24653,458,0.04
24654,418.5,0.04
24655,69,0.08
24656,308,0.01
24657,77,0.05
24658,47,0.11
24659,21,0.05
24660,309,0.06
24661,19,0.08
24662,7,0.1
24663,185,0.07
24664,560,0.1
24665,636,0.04
24666,1555.5,0.01
24667,1136.5,0.09
24668,1022,0.04
24669,136,0.08
24670,197,0
24671,636,0.04
24672,429,0.03
24673,458,0.04
24674,418.5,0.04
24675,77,0.05
24676,560,0.1
24677,69,0.08
24678,306,0.05
24679,185,0.07
24680,308,0.01
24681,47,0.11
24682,21,0.05
24683,19,0.08
24684,7,0.1
24685,309,0.06
24686,1555.5,0.01
24687,1136.5,0.09
24688,560,0.1
24689,458,0.04
24690,306,0.05
24691,185,0.07
24692,309,0.06
24693,197,0
24694,136,0.08
24695,636,0.04
24696,1022,0.04
24697,19,0.08
24698,418.5,0.04
24699,21,0.05
24700,7,0.1
24701,47,0.11
24702,308,0.01
24703,69,0.08
24704,77,0.05
24705,116,0.11
24706,1136.5,0.09
24707,1555.5,0.01
24708,1022,0.04
24709,560,0.1
24710,197,0
24711,136,0.08
24712,116,0.11
24713,185,0.07
24714,306,0.05
24715,69,0.08
24716,309,0.06
24717,636,0.04
24718,418.5,0.04
24719,458,0.04
