,constructorId,positionOrder,year,sumpoints
74,3,12,2020,0.0
477,211,8,2020,4.0
336,51,14,2020,0.0
10,1,5,2020,70.0
339,51,15,2020,0.0
475,211,7,2020,24.0
517,213,15,2020,0.0
321,51,9,2020,6.0
466,211,1,2020,25.0
521,213,18,2020,0.0
44,1,15,2020,0.0
21,1,8,2020,9.0
385,131,4,2020,12.0
449,210,16,2020,0.0
412,131,19,2020,0.0
389,131,5,2020,10.0
38,1,13,2020,0.0
394,131,7,2020,7.0
441,210,14,2020,0.0
398,131,8,2020,8.0
400,131,9,2020,3.0
401,131,11,2020,0.0
445,210,15,2020,0.0
28,1,10,2020,2.0
404,131,14,2020,0.0
381,131,3,2020,76.0
47,1,16,2020,0.0
377,131,2,2020,127.0
51,1,18,2020,0.0
471,211,5,2020,20.0
352,51,20,2020,0.0
470,211,4,2020,48.0
468,211,3,2020,30.0
467,211,2,2020,18.0
464,210,20,2020,0.0
522,213,19,2020,0.0
348,51,18,2020,0.0
13,1,6,2020,32.0
524,213,20,2020,0.0
457,210,18,2020,0.0
58,1,20,2020,0.0
17,1,7,2020,12.0
453,210,17,2020,0.0
373,131,1,2020,330.0
54,1,19,2020,0.0
460,210,19,2020,0.0
426,210,9,2020,2.0
106,4,2,2020,18.0
481,211,10,2020,3.0
508,213,10,2020,2.0
192,6,4,2020,36.0
231,9,1,2020,50.0
497,213,4,2020,12.0
235,9,2,2020,111.0
4,1,3,2020,16.0
188,6,3,2020,30.0
239,9,3,2020,75.0
495,213,1,2020,25.0
510,213,11,2020,0.0
184,6,2,2020,18.0
243,9,4,2020,24.0
494,211,20,2020,0.0
247,9,5,2020,20.0
324,51,10,2020,2.0
227,6,20,2020,0.0
492,211,19,2020,0.0
225,6,19,2020,0.0
499,213,5,2020,10.0
207,6,10,2020,5.0
503,213,7,2020,24.0
209,6,11,2020,0.0
438,210,13,2020,0.0
211,6,12,2020,0.0
505,213,8,2020,12.0
213,6,13,2020,0.0
214,6,14,2020,0.0
501,213,6,2020,16.0
202,6,7,2020,12.0
434,210,12,2020,0.0
506,213,9,2020,6.0
200,6,6,2020,16.0
1,1,2,2020,18.0
222,6,18,2020,0.0
196,6,5,2020,10.0
254,9,7,2020,6.0
251,9,6,2020,24.0
490,211,18,2020,0.0
118,4,7,2020,19.0
115,4,6,2020,16.0
112,4,5,2020,30.0
109,4,4,2020,37.0
107,4,3,2020,30.0
429,210,10,2020,1.0
104,3,20,2020,0.0
512,213,12,2020,0.0
100,3,19,2020,0.0
96,3,18,2020,0.0
514,213,13,2020,0.0
92,3,17,2020,0.0
6,1,4,2020,36.0
88,3,16,2020,0.0
205,6,8,2020,4.0
256,9,8,2020,8.0
124,4,9,2020,6.0
121,4,8,2020,24.0
274,9,17,2020,0.0
261,9,10,2020,1.0
264,9,12,2020,0.0
265,9,13,2020,0.0
268,9,15,2020,0.0
147,4,19,2020,0.0
127,4,10,2020,1.0
144,4,18,2020,0.0
25,1,9,2020,7.0
280,9,19,2020,0.0
137,4,14,2020,0.0
284,9,20,2020,0.0
135,4,13,2020,0.0
130,4,11,2020,0.0
485,211,13,2020,0.0
534,214,10,2021,4.0
538,214,16,2021,0.0
535,214,11,2021,0.0
442,210,14,2021,0.0
539,214,17,2021,0.0
537,214,14,2021,0.0
439,210,13,2021,0.0
536,214,13,2021,0.0
540,214,18,2021,0.0
504,213,7,2021,24.0
532,214,8,2021,20.0
502,213,6,2021,36.0
500,213,5,2021,21.0
507,213,9,2021,6.0
498,213,4,2021,36.0
509,213,10,2021,4.0
496,213,3,2021,15.0
511,213,11,2021,0.0
513,213,12,2021,0.0
515,213,13,2021,0.0
516,213,14,2021,0.0
518,213,15,2021,0.0
519,213,16,2021,0.0
520,213,17,2021,0.0
465,210,20,2021,0.0
523,213,19,2021,0.0
461,210,19,2021,0.0
458,210,18,2021,0.0
525,213,20,2021,0.0
454,210,17,2021,0.0
526,214,1,2021,25.0
527,214,3,2021,15.0
450,210,16,2021,0.0
528,214,4,2021,24.0
529,214,5,2021,10.0
530,214,6,2021,24.0
446,210,15,2021,0.0
531,214,7,2021,15.0
533,214,9,2021,18.0
