,constructorId,positionOrder,circuitId,sumpits
1358,214,8,24,1.0
988,131,2,24,2.0
90,1,12,24,3.0
223,3,17,24,4.0
294,4,7,24,1.0
479,6,3,24,4.0
1127,210,15,24,1.0
1279,213,5,24,3.0
430,5,16,24,1.0
637,9,4,24,2.0
544,6,10,24,3.0
410,5,12,24,1.0
794,15,18,24,0.0
313,4,9,24,1.0
620,9,3,24,1.0
728,10,8,24,1.0
1275,213,4,24,3.0
329,4,11,24,3.0
1183,210,19,24,6.0
335,4,12,24,1.0
1269,211,20,24,3.0
1237,211,10,24,1.0
1218,211,7,24,1.0
386,5,9,24,1.0
369,4,20,24,0.0
760,15,7,24,1.0
751,10,17,24,1.0
1170,210,18,24,3.0
285,4,6,24,1.0
508,6,5,24,3.0
437,5,18,24,0.0
665,9,6,24,1.0
575,6,19,24,0.0
691,9,15,24,6.0
561,6,14,24,1.0
465,6,2,24,1.0
252,3,19,24,1.0
605,9,2,24,1.0
1297,213,8,24,1.0
850,51,13,24,1.0
558,6,13,24,1.0
839,51,12,24,1.0
590,9,1,24,7.0
1118,210,14,24,4.0
239,3,18,24,0.0
989,131,2,32,1.0
740,10,11,32,3.0
494,6,4,32,3.0
1341,213,20,32,0.0
466,6,2,32,4.0
74,1,10,32,1.0
480,6,3,32,1.0
752,10,18,32,1.0
666,9,6,32,1.0
387,5,9,32,3.0
404,5,11,32,3.0
1367,214,9,32,1.0
966,131,1,32,1.0
1171,210,18,32,3.0
56,1,8,32,1.0
99,1,13,32,3.0
422,5,14,32,3.0
224,3,17,32,3.0
91,1,12,32,3.0
509,6,5,32,1.0
700,9,17,32,1.0
653,9,5,32,3.0
1246,211,12,32,1.0
1155,210,17,32,1.0
396,5,10,32,3.0
1008,131,3,32,1.0
1053,131,15,32,10.0
935,117,14,32,3.0
591,9,1,32,4.0
860,51,14,32,1.0
206,3,16,32,2.0
240,3,18,32,3.0
1032,131,5,32,6.0
825,51,11,32,1.0
286,4,6,32,1.0
1128,210,15,32,2.0
901,51,19,32,3.0
362,4,19,32,1.0
164,3,13,32,1.0
1377,214,13,32,1.0
304,4,8,32,1.0
158,3,12,32,3.0
909,117,7,32,1.0
807,51,8,32,1.0
1021,131,4,32,3.0
766,15,9,32,1.0
621,9,3,32,1.0
1276,213,4,32,1.0
521,6,6,32,1.0
323,4,10,32,1.0
1138,210,16,32,3.0
761,15,7,32,1.0
1219,211,7,32,1.0
138,1,20,32,0.0
1184,210,19,32,0.0
510,6,5,34,6.0
481,6,3,34,2.0
592,9,1,34,3.0
1041,131,7,34,3.0
1359,214,8,34,1.0
1194,210,20,34,2.0
990,131,2,34,4.0
606,9,2,34,1.0
64,1,9,34,1.0
1022,131,4,34,1.0
1185,210,19,34,1.0
20,1,5,34,1.0
638,9,4,34,2.0
1379,214,14,34,1.0
32,1,6,34,2.0
622,9,3,34,1.0
550,6,11,34,1.0
564,6,16,34,3.0
225,3,17,34,1.0
92,1,12,34,1.0
330,4,11,34,1.0
915,117,9,34,1.0
314,4,9,34,1.0
771,15,10,34,1.0
305,4,8,34,2.0
241,3,18,34,2.0
1094,210,11,34,1.0
754,10,19,34,0.0
753,10,18,34,0.0
118,1,16,34,3.0
875,51,15,34,1.0
159,3,12,34,1.0
804,51,7,34,1.0
782,15,13,34,1.0
893,51,17,34,1.0
917,117,10,34,1.0
186,3,15,34,1.0
253,3,19,34,3.0
1070,210,6,34,1.0
680,9,10,34,1.0
1292,213,7,34,1.0
447,5,20,34,0.0
1252,211,13,34,1.0
887,51,16,34,3.0
967,131,1,34,2.0
1156,210,17,34,1.0
1247,211,12,34,1.0
428,5,15,34,1.0
423,5,14,34,2.0
1320,213,13,34,1.0
1277,213,4,39,1.0
876,51,15,39,1.0
1195,210,20,39,1.0
593,9,1,39,3.0
676,9,8,39,3.0
75,1,10,39,1.0
84,1,11,39,1.0
991,131,2,39,6.0
226,3,17,39,3.0
1350,214,6,39,1.0
