,constructorId,positionOrder,circuitId,sumpoints
745,10,14,7,0.0
78,1,11,7,0.0
197,3,16,7,0.0
121,1,18,7,0.0
673,9,8,7,4.0
731,10,9,7,2.0
298,4,8,7,4.0
472,6,3,7,15.0
1148,210,17,7,0.0
135,1,20,7,0.0
458,6,2,7,18.0
451,6,1,7,25.0
399,5,11,7,0.0
1243,211,12,7,0.0
115,1,16,7,0.0
440,5,19,7,0.0
1096,210,12,7,0.0
390,5,10,7,1.0
979,131,2,7,18.0
784,15,15,7,0.0
291,4,7,7,12.0
1105,210,13,7,0.0
1115,210,14,7,0.0
235,3,18,7,0.0
1026,131,5,7,10.0
843,51,13,7,0.0
260,3,20,7,0.0
870,51,15,7,0.0
1015,131,4,7,13.0
630,9,4,7,12.0
216,3,17,7,0.0
515,6,6,7,8.0
616,9,3,7,15.0
769,15,10,7,1.0
647,9,5,7,10.0
280,4,6,7,8.0
1228,211,9,7,2.0
542,6,10,9,1.0
29,1,6,9,8.0
648,9,5,9,30.0
553,6,12,9,0.0
942,117,19,9,0.0
1190,210,20,9,0.0
735,10,10,9,1.0
563,6,16,9,0.0
1080,210,9,9,2.0
600,9,2,9,19.0
1047,131,11,9,0.0
14,1,5,9,20.0
384,5,9,9,2.0
7,1,4,9,12.0
980,131,2,9,55.0
489,6,4,9,12.0
1259,211,17,9,0.0
911,117,8,9,4.0
1333,213,18,9,0.0
155,3,12,9,0.0
1016,131,4,9,12.0
409,5,12,9,0.0
473,6,3,9,45.0
1149,210,17,9,0.0
51,1,8,9,4.0
674,9,8,9,4.0
1165,210,18,9,0.0
459,6,2,9,18.0
516,6,6,9,8.0
95,1,13,9,0.0
452,6,1,9,25.0
1363,214,9,9,2.0
631,9,4,9,12.0
688,9,15,9,0.0
1001,131,3,9,31.0
445,5,20,9,0.0
692,9,16,9,0.0
1181,210,19,9,0.0
1353,214,7,9,6.0
954,131,1,9,78.0
1215,211,7,9,6.0
1229,211,9,9,2.0
79,1,11,9,0.0
712,9,20,9,3.0
414,5,13,9,0.0
1249,211,13,9,0.0
62,1,9,9,2.0
1210,211,6,9,8.0
236,3,18,9,0.0
722,10,7,9,6.0
299,4,8,9,4.0
806,51,8,9,4.0
292,4,7,9,6.0
584,9,1,9,25.0
281,4,6,9,16.0
1310,213,11,9,0.0
890,51,17,9,0.0
1133,210,16,9,0.0
269,4,4,9,12.0
796,15,19,9,0.0
871,51,15,9,0.0
342,4,14,9,0.0
1306,213,10,9,2.0
351,4,17,9,0.0
791,15,18,9,0.0
895,51,18,9,0.0
855,51,14,9,0.0
246,3,19,9,0.0
1289,213,7,9,6.0
171,3,14,9,0.0
1267,211,20,9,0.0
320,4,10,9,1.0
844,51,13,9,0.0
182,3,15,9,0.0
419,5,14,10,0.0
785,15,15,10,0.0
96,1,13,10,0.0
686,9,14,10,0.0
723,10,7,10,6.0
460,6,2,10,18.0
713,9,20,10,0.0
955,131,1,10,25.0
981,131,2,10,18.0
1072,210,7,10,6.0
585,9,1,10,26.0
1046,131,9,10,2.0
247,3,19,10,0.0
570,6,18,10,0.0
15,1,5,10,10.0
566,6,17,10,0.0
845,51,13,10,0.0
1052,131,15,10,0.0
1204,211,4,10,12.0
834,51,12,10,0.0
217,3,17,10,0.0
632,9,4,10,12.0
274,4,5,10,10.0
1069,210,6,10,8.0
116,1,16,10,0.0
474,6,3,10,15.0
727,10,8,10,4.0
1075,210,8,10,4.0
764,15,9,10,2.0
1268,211,20,10,0.0
373,5,3,10,15.0
375,5,6,10,8.0
349,4,16,10,0.0
1090,210,11,10,0.0
149,3,11,10,0.0
122,1,18,10,0.0
358,4,19,10,0.0
332,4,12,10,0.0
145,3,10,10,1.0
391,5,10,10,1.0
343,4,14,11,0.0
1087,210,10,11,2.0
1316,213,12,11,0.0
746,10,14,11,0.0
475,6,3,11,45.0
300,4,8,11,4.0
678,9,9,11,2.0
872,51,15,11,0.0
1205,211,4,11,12.0
461,6,2,11,18.0
548,6,11,11,0.0
140,3,7,11,6.0
803,51,7,11,6.0
1116,210,14,11,0.0
1073,210,7,11,6.0
80,1,11,11,0.0
1260,211,17,11,0.0
744,10,13,11,0.0
