resultid,raceid,driverid,constructorid,number,grid,position,positiontext,positionorder,points,laps,time,milliseconds,fastestlap,rank,fastestlaptime,fastestlapspeed,statusid,status,driverref,constructorref,circuitid,name,year,circuitref,alt,weather,weather_type,total_points_driver,average_col_acc,rankfast,sumpits,points_season,points_circuit,constructor_failures,constructor_failures_driver,constructor_failures_driver_constructor,rank_yrs_exp_driver,rank_exp_driver,rank_wins_driver,run_circuit,rank_run_circuit,rank_quali_wins_driver
24927,1046,839,4,31,11,2.0,2,2,18.0,87,+10.518,5485632.0,75,12,0:57.350,222.402,1,Finished,ocon,renault,3,Sakhir Grand Prix,2020,bahrain,7.0,Sereno,1,904.0,0.07,12,3.0,181.0,44.0,1.891891891891892,0.0,0.5312084993359893,14.0,17.0,10.0,5,247.0,15.0
24978,1052,839,214,31,16,13.0,13,13,0.0,55,\N,,33,15,1:35.250,204.548,11,+1 Lap,ocon,alpine,3,Bahrain Grand Prix,2021,bahrain,7.0,Sereno,1,904.0,0.07,15,4.0,155.0,0.0,0.2702702702702703,0.0,4.545454545454546,14.0,17.0,10.0,5,247.0,15.0
23817,990,815,10,11,12,16.0,16,16,0.0,56,\N,,32,17,1:35.266,204.513,11,+1 Lap,perez,force_india,3,Bahrain Grand Prix,2018,bahrain,7.0,Sereno,1,486.0,0.03,17,4.0,111.0,1.0,0.0,0.2702702702702703,1.4251781472684086,5.0,5.0,8.0,11,55.0,3.0
24970,1052,815,9,11,0,5.0,5,5,10.0,56,+52.047,5575944.0,44,3,1:33.970,207.334,1,Finished,perez,red_bull,3,Bahrain Grand Prix,2021,bahrain,7.0,Sereno,1,486.0,0.03,3,5.0,585.5,86.0,0.8108108108108109,0.2702702702702703,0.15479876160990713,5.0,5.0,8.0,11,55.0,3.0
24232,1011,815,211,11,14,10.0,10,10,1.0,57,+1:03.696,5724991.0,51,14,1:36.330,202.254,1,Finished,perez,racing_point,3,Bahrain Grand Prix,2019,bahrain,7.0,Sereno,1,486.0,0.03,14,4.0,73.0,41.0,0.2702702702702703,0.2702702702702703,3.9473684210526314,5.0,5.0,8.0,11,55.0,3.0
24923,1045,815,211,11,5,18.0,18,18,0.0,53,\N,,40,9,1:33.629,208.089,5,Engine,perez,racing_point,3,Bahrain Grand Prix,2020,bahrain,7.0,Sereno,1,486.0,0.03,9,4.0,210.0,41.0,0.2702702702702703,0.2702702702702703,3.9473684210526314,5.0,5.0,8.0,11,55.0,3.0
24926,1046,815,211,11,5,1.0,1,1,25.0,87,1:31:15.114,5475114.0,69,3,0:56.789,224.599,1,Finished,perez,racing_point,3,Sakhir Grand Prix,2020,bahrain,7.0,Sereno,1,486.0,0.03,3,3.0,210.0,41.0,0.2702702702702703,0.2702702702702703,3.9473684210526314,5.0,5.0,8.0,11,55.0,3.0
23832,991,839,10,31,12,11.0,11,11,0.0,56,+44.050,5780430.0,47,12,1:37.985,200.271,1,Finished,ocon,force_india,17,Chinese Grand Prix,2018,shanghai,5.0,Soleggiato,1,904.0,0.07,12,4.0,111.0,0.0,0.5988023952095809,0.0,0.4750593824228029,14.0,17.0,10.0,2,511.0,15.0
23833,991,815,10,11,8,12.0,12,12,0.0,56,+44.725,5781105.0,54,10,1:37.673,200.911,1,Finished,perez,force_india,17,Chinese Grand Prix,2018,shanghai,5.0,Soleggiato,1,486.0,0.03,10,4.0,111.0,0.0,0.5988023952095809,0.0,1.4251781472684086,5.0,5.0,8.0,9,115.0,3.0
24250,1012,815,211,11,12,8.0,8,8,4.0,55,\N,,37,17,1:38.702,198.816,11,+1 Lap,perez,racing_point,17,Chinese Grand Prix,2019,shanghai,5.0,Nuvoloso,2,486.0,0.03,17,3.0,73.0,4.0,0.0,0.0,3.9473684210526314,5.0,5.0,8.0,9,115.0,3.0
23870,993,815,10,11,15,9.0,9,9,2.0,64,\N,,43,8,1:21.128,206.562,12,+2 Laps,perez,force_india,4,Spanish Grand Prix,2018,catalunya,109.0,Parzialmente nuvoloso,2,486.0,0.03,8,3.0,111.0,2.0,0.45662100456621,0.15220700152207,1.4251781472684086,5.0,5.0,8.0,11,57.0,3.0
25030,1055,815,9,11,8,5.0,5,5,10.0,66,+1:03.671,5651351.0,60,3,1:19.483,211.743,1,Finished,perez,red_bull,4,Spanish Grand Prix,2021,catalunya,109.0,Nuvoloso,2,486.0,0.03,3,4.0,585.5,99.0,0.15220700152207,0.15220700152207,0.15479876160990713,5.0,5.0,8.0,11,57.0,3.0
24297,1014,815,211,11,15,15.0,15,15,0.0,66,+46.877,5797320.0,65,16,1:21.859,204.717,1,Finished,perez,racing_point,4,Spanish Grand Prix,2019,catalunya,109.0,Sereno,1,486.0,0.03,16,3.0,73.0,22.0,0.0,0.15220700152207,3.9473684210526314,5.0,5.0,8.0,11,57.0,3.0
24730,1036,815,211,11,4,5.0,5,5,10.0,65,\N,,58,16,1:22.515,203.090,11,+1 Lap,perez,racing_point,4,Spanish Grand Prix,2020,catalunya,109.0,Parzialmente nuvoloso,2,486.0,0.03,16,3.0,210.0,22.0,0.0,0.15220700152207,3.9473684210526314,5.0,5.0,8.0,11,57.0,3.0
