resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,total_points_driver,average_col_acc
25240,1065,854,210,47,18,15,15,15,0,53,51.088,4965453,52,17,01:26.7,240.52,1, -   ,0.09
25241,1065,853,210,9,16,\N,R,16,0,41,\N,\N,41,18,01:27.2,239.155,131, -   ,0.14
25242,1065,1,131,44,4,\N,R,17,0,25,\N,\N,3,14,01:25.9,242.864,4,1555.50,0.01
25243,1065,830,9,33,1,\N,R,18,2,25,\N,\N,25,5,01:25.2,244.852,4,1136.50,0.09
25244,1065,842,213,10,0,\N,R,19,0,3,\N,\N,2,19,01:29.0,234.31,22,309.00,0.06
25245,1065,852,213,22,0,\N,W,20,0,0,\N,\N,\N,0,\N,\N,23,32.00,0.05
25246,1066,1,131,44,4,1,1,1,25,53,30:41.0,5441001,43,2,01:37.6,215.76,1,1555.50,0.01
25247,1066,830,9,33,20,2,2,2,18,53,53.271,5494272,28,5,01:38.4,213.959,1,1136.50,0.09
25248,1066,832,6,55,2,3,3,3,15,53,+1:02.475,5503476,40,12,01:39.3,212.024,1,418.50,0.04
25249,1066,817,1,3,5,4,4,4,12,53,+1:05.607,5506608,24,9,01:39.1,212.388,1,458.00,0.04
25250,1066,822,131,77,16,5,5,5,10,53,+1:07.533,5508534,31,3,01:38.2,214.352,1,1022.00,0.04
25251,1066,4,214,14,6,6,6,6,8,53,+1:21.321,5522322,44,6,01:38.7,213.331,1,131.00,0.05
25252,1066,846,1,4,1,7,7,7,7,53,+1:27.224,5528225,39,1,01:37.4,216.096,1,306.00,0.05
25253,1066,8,51,7,13,8,8,8,4,53,+1:28.955,5529956,34,16,01:40.3,209.921,1,308.00,0.01
25254,1066,815,9,11,8,9,9,9,2,53,+1:30.076,5531077,45,10,01:39.2,212.193,1,429.00,0.03
25255,1066,847,3,63,3,10,10,10,1,53,+1:40.551,5541552,40,18,01:40.6,209.28,1,19.00,0.08
25256,1066,840,117,18,7,11,11,11,0,53,+1:46.198,5547199,35,17,01:40.5,209.555,1,136.00,0.08
25257,1066,20,117,5,10,12,12,12,0,52,\N,\N,44,11,01:39.3,212.116,11,636.00,0.04
25258,1066,842,213,10,11,13,13,13,0,52,\N,\N,35,4,01:38.3,214.214,11,309.00,0.06
25259,1066,839,214,31,9,14,14,14,0,52,\N,\N,34,19,01:40.6,209.276,11,185.00,0.07
25260,1066,844,6,16,19,15,15,15,0,52,\N,\N,45,7,01:39.0,212.667,11,560.00,0.10
25261,1066,841,51,99,17,16,16,16,0,52,\N,\N,39,8,01:39.1,212.53,11,21.00,0.05
25262,1066,852,213,22,12,17,17,17,0,52,\N,\N,42,13,01:40.0,210.612,11,32.00,0.05
25263,1066,853,210,9,15,18,18,18,0,51,\N,\N,24,20,01:41.7,206.982,12, -   ,0.14
25264,1066,849,3,6,18,19,19,19,0,47,\N,\N,42,14,01:40.0,210.528,3,7.00,0.10
25265,1066,854,210,47,14,\N,R,20,0,32,\N,\N,22,15,01:40.3,209.948,44, -   ,0.09
25266,1067,822,131,77,1,1,1,1,26,58,31:04.1,5464103,58,1,01:30.4,212.5,1,1022.00,0.04
25267,1067,830,9,33,2,2,2,2,18,58,14.584,5478687,53,9,01:32.8,207.169,1,1136.50,0.09
